n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,L_factor_nnz,skip_direct
5,480,24,2400,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.04098083300050348,0.01634270799695514,0.051417167007457465,0.10874070800491609,99,0,9.698495816008831e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0008196166600100696,0.0003268541599391028,0.051417167007457465,0.05256363782740664,99,0,9.698495816008831e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.3,0.95,10000.0,0.9,7,direct_cholmod,ok,0.04017387502244674,0.01587941701291129,0.0001964160182978958,0.05624970805365592,0,0,4.590165855153989e-13,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.3,0.95,10000.0,0.9,7,direct_splu,ok,0.040578999993158504,0.022299125004792586,0.0003273339825682342,0.06320545898051932,0,0,6.623108195466502e-13,282900,588000,9408000.0,795,665630,0
5,480,24,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.0389712089963723,0.015549042000202462,0.06710558300255798,0.12162583399913274,144,0,8.84539961197409e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0007794241799274459,0.00031098084000404926,0.06710558300255798,0.06819598802248947,144,0,8.84539961197409e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.5,0.95,10000.0,0.9,0,direct_cholmod,ok,0.043021207995479926,0.015007124980911613,0.00017733400454744697,0.058205666980938986,0,0,1.6325316390959828e-12,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.5,0.95,10000.0,0.9,0,direct_splu,ok,0.044258874986553565,0.028890084009617567,0.00044866601820103824,0.07359762501437217,0,0,2.3527281817779215e-12,282900,588000,9408000.0,795,784820,0
5,480,24,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.040114040981279686,0.014353542006574571,0.2939999579975847,0.348467540985439,675,0,9.629771999280931e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0008022808196255937,0.00028707084013149145,0.2939999579975847,0.2950893096573418,675,0,9.629771999280931e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.5,0.95,10000.0,0.9,1,direct_cholmod,ok,0.03899600001750514,0.014420209015952423,0.00015829200856387615,0.05357450104202144,0,0,2.026143584937525e-12,282900,588000,9408000.0,795,316225,0
