n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,L_factor_nnz,bandwidth_u,banded_ab_bytes,banded_factor_bytes,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,skip_direct,banded_total_bytes_estimate,skip_banded
5,480,2,2400,0.5,0.95,10000.0,0.9,1,direct_cholmod,ok,0.003760708001209423,0.0006404579908121377,3.508297959342599e-05,0.004436248971614987,0,0,5.105965561925442e-12,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.5,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.003785041975788772,0.0006569590186700225,0.04560183300054632,0.050043833995005116,572,0,8.599226979452907e-09,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.5,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.0036446250160224736,0.00030591600807383657,0.07608941697981209,0.0800399580039084,573,0,8.944621336262567e-09,-1,20,403200,403200,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.5,0.95,10000.0,0.9,7,direct_cholmod,ok,0.003909582999767736,0.0006578330066986382,3.558400203473866e-05,0.0046030000085011125,0,0,7.902818921504182e-12,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.5,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.0037496250006370246,0.0008076660160440952,0.06231187502271496,0.06686916603939608,767,0,9.231358091216608e-09,32238,-1,-1,-1,26325,60000,960000.0,795,0,576000,0
5,480,2,2400,0.5,0.95,10000.0,0.9,7,pcg_banded_time_avg_precision_chol,ok,0.0034315420198254287,0.0003414170059841126,0.10555095801828429,0.10932391704409383,765,0,9.40525360401193e-09,-1,20,403200,403200,26325,60000,960000.0,795,0,576000,0
5,480,12,2400,0.1,0.95,10000.0,0.9,0,direct_cholmod,ok,0.014452583011006936,0.006981375016039237,0.00011454199557192624,0.0215485000226181,0,0,5.043506136087257e-13,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.014365833019837737,0.004796042019734159,0.005439375003334135,0.02460125004290603,22,0,7.808495657270669e-09,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.1,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.022613832989009097,0.0014285839861258864,0.005119250010466203,0.029161666985601187,22,0,7.808497169534702e-09,-1,64,1248000,1248000,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.1,0.95,10000.0,0.9,1,direct_cholmod,ok,0.013941791985416785,0.004132000001845881,0.00010866697994060814,0.018182458967203274,0,0,4.2186186195133186e-13,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
