axis,axis_value,n,T,p,sv_sigma,sv_rho,lam,target_radius,seed,preconditioner,iters,status,hit_maxiter,relative_residual,setup_time,solve_time,matvec_time_mean,cond_proxy
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,1,direct_splu,0,0,0,1.3790745602039345e-12,0.001368208002531901,0.00011424999684095383,4.804099444299936e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,1,direct_cholmod,0,0,0,1.7565473443469729e-12,0.0007147500000428408,2.562499139457941e-05,4.804099444299936e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,7,none,468,0,0,8.179299416434897e-09,2.910092007368803e-07,0.023982166982023045,4.949999856762588e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,7,jacobi,657,0,0,9.614100953115499e-09,4.274997627362609e-05,0.03435254099895246,4.949999856762588e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,7,block_jacobi,667,0,0,9.761342433243867e-09,0.010540334013057873,0.04820841702166945,4.949999856762588e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,7,time_averaged_lu,14,0,0,2.350713537564426e-09,0.005412832979345694,0.002114208007697016,4.949999856762588e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,7,time_averaged_chol,14,0,0,2.350714565460971e-09,0.004508041980443522,0.0011892080074176192,4.949999856762588e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,7,direct_splu,0,0,0,4.755916056483138e-13,0.0013346250052563846,0.00010075001046061516,4.949999856762588e-05,nan
sv_sigma,0.05,5,480,2,0.05,0.95,10000.0,0.9,7,direct_cholmod,0,0,0,6.021579431604092e-13,0.0007007909880485386,3.1042000045999885e-05,4.949999856762588e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,none,1270,0,0,8.967083620687043e-09,2.9199873097240925e-07,0.06569404198671691,4.8290996346622705e-05,nan
